Year,Country ,Country Code,Medal Type,Medals
1972,Serbia,SRB,Bronze,2
1996,Serbia,SRB,Bronze,2
2008,Serbia,SRB,Bronze,2
2012,Serbia,SRB,Bronze,2
2016,Serbia,SRB,Bronze,2
1924,Serbia,SRB,Gold,2
1964,Serbia,SRB,Gold,2
1972,Serbia,SRB,Gold,2
1976,Serbia,SRB,Gold,2
1980,Serbia,SRB,Gold,2
2016,Serbia,SRB,Gold,2
1912,Serbia,SRB,No Medal,2
1998,Serbia,SRB,No Medal,2
1948,Serbia,SRB,Silver,2
1952,Serbia,SRB,Silver,2
2004,Serbia,SRB,Silver,2
1996,Sao Tome and Principe,STP,No Medal,2
2000,Sao Tome and Principe,STP,No Medal,2
2004,Sao Tome and Principe,STP,No Medal,2
2012,Sao Tome and Principe,STP,No Medal,2
2004,Slovakia,SVK,Bronze,2
2004,Slovakia,SVK,Gold,2
2016,Slovakia,SVK,Gold,2
2004,Slovakia,SVK,Silver,2
2008,Slovakia,SVK,Silver,2
2016,Slovakia,SVK,Silver,2
1992,Slovenia,SVN,Bronze,2
2008,Slovenia,SVN,Bronze,2
2012,Slovenia,SVN,Bronze,2
2000,Slovenia,SVN,Gold,2
2014,Slovenia,SVN,Gold,2
1996,Slovenia,SVN,Silver,2
2008,Slovenia,SVN,Silver,2
2010,Slovenia,SVN,Silver,2
2014,Slovenia,SVN,Silver,2
2016,Slovenia,SVN,Silver,2
1976,Sweden,SWE,Bronze,2
1996,Sweden,SWE,Bronze,2
1906,Sweden,SWE,Gold,2
1992,Sweden,SWE,Gold,2
1994,Sweden,SWE,Gold,2
1996,Sweden,SWE,Gold,2
2014,Sweden,SWE,Gold,2
2016,Sweden,SWE,Gold,2
1998,Sweden,SWE,Silver,2
2002,Sweden,SWE,Silver,2
2004,Sweden,SWE,Silver,2
2006,Sweden,SWE,Silver,2
2010,Sweden,SWE,Silver,2
1968,Syria,SYR,No Medal,2
1964,Chad,TCD,No Medal,2
2008,Chad,TCD,No Medal,2
2012,Chad,TCD,No Medal,2
2016,Chad,TCD,No Medal,2
2000,Thailand,THA,Bronze,2
2016,Thailand,THA,Bronze,2
2008,Thailand,THA,Gold,2
2016,Thailand,THA,Gold,2
2002,Thailand,THA,No Medal,2
2008,Thailand,THA,Silver,2
2012,Thailand,THA,Silver,2
2016,Thailand,THA,Silver,2
2002,Tajikistan,TJK,No Medal,2
2004,Timor-Leste,TLS,No Medal,2
2012,Timor-Leste,TLS,No Medal,2
1952,Trinidad,TTO,Bronze,2
1960,Trinidad,TTO,Bronze,2
1964,Trinidad,TTO,Bronze,2
1996,Trinidad,TTO,Bronze,2
2012,Trinidad,TTO,Bronze,2
1948,Turkey,TUR,Bronze,2
1956,Turkey,TUR,Bronze,2
1992,Turkey,TUR,Bronze,2
2000,Turkey,TUR,Bronze,2
1952,Turkey,TUR,Gold,2
1964,Turkey,TUR,Gold,2
1968,Turkey,TUR,Gold,2
1992,Turkey,TUR,Gold,2
2012,Turkey,TUR,Gold,2
1906,Turkey,TUR,No Medal,2
1956,Turkey,TUR,Silver,2
1960,Turkey,TUR,Silver,2
1992,Turkey,TUR,Silver,2
2012,Turkey,TUR,Silver,2
2000,Tanzania,TZA,No Medal,2
1980,Tanzania,TZA,Silver,2
2006,Ukraine,UKR,Bronze,2
2016,Ukraine,UKR,Gold,2
1996,Ukraine,UKR,Silver,2
1952,Uruguay,URY,Bronze,2
1896,USA,USA,Bronze,2
1980,USA,USA,Bronze,2
1994,USA,USA,Bronze,2
2000,Uzbekistan,UZB,Bronze,2
2004,Uzbekistan,UZB,Bronze,2
2012,Uzbekistan,UZB,Bronze,2
2004,Uzbekistan,UZB,Gold,2
2008,Uzbekistan,UZB,Silver,2
2016,Uzbekistan,UZB,Silver,2
2008,Saint Vincent,VCT,No Medal,2
2004,Venezuela,VEN,Bronze,2
2016,Venezuela,VEN,Bronze,2
1948,Venezuela,VEN,No Medal,2
2002,Venezuela,VEN,No Medal,2
1992,"Virgin Islands, British",VGB,No Medal,2
2008,"Virgin Islands, British",VGB,No Medal,2
2012,"Virgin Islands, British",VGB,No Medal,2
2014,"Virgin Islands, US",VIR,No Medal,2
2004,Vanuatu,VUT,No Medal,2
2000,Yemen,YEM,No Medal,2
1928,South Africa,ZAF,Bronze,2
1948,South Africa,ZAF,Bronze,2
1960,South Africa,ZAF,Bronze,2
2004,South Africa,ZAF,Bronze,2
2016,South Africa,ZAF,Bronze,2
1932,South Africa,ZAF,Gold,2
1948,South Africa,ZAF,Gold,2
1952,South Africa,ZAF,Gold,2
2016,South Africa,ZAF,Gold,2
1904,South Africa,ZAF,No Medal,2
2010,South Africa,ZAF,No Medal,2
1912,South Africa,ZAF,Silver,2
1948,South Africa,ZAF,Silver,2
1992,South Africa,ZAF,Silver,2
2000,South Africa,ZAF,Silver,2
2012,South Africa,ZAF,Silver,2
1928,Zimbabwe,ZWE,No Medal,2
2014,Zimbabwe,ZWE,No Medal,2
1996,Aruba,ABW,No Medal,3
2008,Afghanistan,AFG,No Medal,3
2016,Afghanistan,AFG,No Medal,3
1972,Albania,ALB,No Medal,3
2006,Albania,ALB,No Medal,3
1936,Argentina,ARG,Bronze,3
1928,Argentina,ARG,Gold,3
1932,Argentina,ARG,Gold,3
1948,Argentina,ARG,Gold,3
2016,Argentina,ARG,Gold,3
1924,Argentina,ARG,Silver,3
1928,Argentina,ARG,Silver,3
1948,Argentina,ARG,Silver,3
2016,Armenia,ARM,Silver,3
1992,American Samoa,ASM,No Medal,3
2004,American Samoa,ASM,No Medal,3
1900,Australia,AUS,Bronze,3
1906,Australia,AUS,Bronze,3
1912,Australia,AUS,Bronze,3
1952,Australia,AUS,Bronze,3
1900,Australia,AUS,Gold,3
1932,Australia,AUS,Gold,3
1988,Australia,AUS,Gold,3
1904,Australia,AUS,Silver,3
1900,Austria,AUT,Bronze,3
1906,Austria,AUT,Bronze,3
1932,Austria,AUT,Bronze,3
1952,Austria,AUT,Bronze,3
1960,Austria,AUT,Bronze,3
1964,Austria,AUT,Bronze,3
1976,Austria,AUT,Bronze,3
1980,Austria,AUT,Bronze,3
1906,Austria,AUT,Gold,3
1928,Austria,AUT,Gold,3
1948,Austria,AUT,Gold,3
1968,Austria,AUT,Gold,3
1998,Austria,AUT,Gold,3
2002,Austria,AUT,Gold,3
1896,Austria,AUT,No Medal,3
1904,Austria,AUT,No Medal,3
1900,Austria,AUT,Silver,3
1906,Austria,AUT,Silver,3
1928,Austria,AUT,Silver,3
1956,Austria,AUT,Silver,3
1960,Austria,AUT,Silver,3
1972,Austria,AUT,Silver,3
1994,Austria,AUT,Silver,3
1998,Azerbaijan,AZE,No Medal,3
2002,Azerbaijan,AZE,No Medal,3
2014,Azerbaijan,AZE,No Medal,3
2008,Burundi,BDI,No Medal,3
1906,Belgium,BEL,Bronze,3
1912,Belgium,BEL,Bronze,3
1928,Belgium,BEL,Bronze,3
1936,Belgium,BEL,Bronze,3
1948,Belgium,BEL,Bronze,3
1976,Belgium,BEL,Bronze,3
2000,Belgium,BEL,Bronze,3
1924,Belgium,BEL,Gold,3
1948,Belgium,BEL,Gold,3
1948,Belgium,BEL,Silver,3
1976,Belgium,BEL,Silver,3
1972,Benin,BEN,No Medal,3
1984,Benin,BEN,No Medal,3
1960,Bulgaria,BGR,Bronze,3
1968,Bulgaria,BGR,Bronze,3
2008,Bulgaria,BGR,Bronze,3
1964,Bulgaria,BGR,Gold,3
1992,Bulgaria,BGR,Gold,3
1996,Bulgaria,BGR,Gold,3
1956,Bulgaria,BGR,Silver,3
1960,Bulgaria,BGR,Silver,3
1996,Bahrain,BHR,No Medal,3
1952,Bahamas,BHS,No Medal,3
1956,Bahamas,BHS,No Medal,3
2002,Bosnia and Herzegovina,BIH,No Medal,3
2000,Belarus,BLR,Gold,3
2000,Belarus,BLR,Silver,3
2012,Belize,BLZ,No Medal,3
2016,Belize,BLZ,No Medal,3
1968,Boliva,BOL,No Medal,3
1980,Boliva,BOL,No Medal,3
1988,Brazil,BRA,Bronze,3
2004,Brazil,BRA,Bronze,3
1996,Brazil,BRA,Gold,3
2008,Brazil,BRA,Gold,3
2012,Brazil,BRA,Gold,3
1900,Brazil,BRA,No Medal,3
1996,Brazil,BRA,Silver,3
2012,Botswana,BWA,No Medal,3
1984,Central African Republic,CAF,No Medal,3
2000,Central African Republic,CAF,No Medal,3
2008,Central African Republic,CAF,No Medal,3
1912,Canada,CAN,Bronze,3
1920,Canada,CAN,Bronze,3
1948,Canada,CAN,Bronze,3
1972,Canada,CAN,Bronze,3
2004,Canada,CAN,Bronze,3
1908,Canada,CAN,Gold,3
1912,Canada,CAN,Gold,3
1920,Canada,CAN,Gold,3
1932,Canada,CAN,Gold,3
1988,Canada,CAN,Gold,3
1994,Canada,CAN,Gold,3
1996,Canada,CAN,Gold,3
2000,Canada,CAN,Gold,3
2004,Canada,CAN,Gold,3
2008,Canada,CAN,Gold,3
1900,Canada,CAN,No Medal,3
1908,Canada,CAN,Silver,3
1920,Canada,CAN,Silver,3
1924,Canada,CAN,Silver,3
1964,Canada,CAN,Silver,3
1972,Canada,CAN,Silver,3
2000,Canada,CAN,Silver,3
2002,Canada,CAN,Silver,3
2016,Canada,CAN,Silver,3
2004,Swaziland,CHE,No Medal,3
2012,Swaziland,CHE,No Medal,3
1994,Chile,CHL,No Medal,3
1998,Chile,CHL,No Medal,3
2014,China,CHN,Gold,3
1956,China,CHN,No Medal,3
1960,China,CHN,No Medal,3
2000,Democratic Republic of the Congo,COD,No Medal,3
2000,Democratic Republic of the Congo,COG,No Medal,3
2016,Colombia,COL,Bronze,3
2016,Colombia,COL,Gold,3
2012,Colombia,COL,Silver,3
2004,Comoros,COM,No Medal,3
2008,Comoros,COM,No Medal,3
2012,Comoros,COM,No Medal,3
1996,Cape Verde,CPV,No Medal,3
2004,Cape Verde,CPV,No Medal,3
2012,Cape Verde,CPV,No Medal,3
1976,Cuba,CUB,Bronze,3
1972,Cuba,CUB,Gold,3
1924,Cuba,CUB,No Medal,3
2012,Cuba,CUB,Silver,3
2004,Curacao,CUW,No Medal,3
1928,Czech Republic,CZE,Bronze,3
1948,Czech Republic,CZE,Bronze,3
1952,Czech Republic,CZE,Bronze,3
1960,Czech Republic,CZE,Bronze,3
2000,Czech Republic,CZE,Bronze,3
2012,Czech Republic,CZE,Bronze,3
1936,Czech Republic,CZE,Gold,3
1960,Czech Republic,CZE,Gold,3
1972,Czech Republic,CZE,Gold,3
1988,Czech Republic,CZE,Gold,3
2008,Czech Republic,CZE,Gold,3
1932,Czech Republic,CZE,Silver,3
1948,Czech Republic,CZE,Silver,3
1952,Czech Republic,CZE,Silver,3
1960,Czech Republic,CZE,Silver,3
1976,Czech Republic,CZE,Silver,3
1980,Czech Republic,CZE,Silver,3
1996,Czech Republic,CZE,Silver,3
2000,Czech Republic,CZE,Silver,3
2004,Czech Republic,CZE,Silver,3
2008,Czech Republic,CZE,Silver,3
2012,Czech Republic,CZE,Silver,3
1908,Germany,DEU,Gold,3
1952,Germany,DEU,Gold,3
1900,Germany,DEU,Silver,3
1896,Denmark,DNK,Bronze,3
1908,Denmark,DNK,Bronze,3
1924,Denmark,DNK,Bronze,3
1932,Denmark,DNK,Bronze,3
1936,Denmark,DNK,Bronze,3
1952,Denmark,DNK,Bronze,3
1964,Denmark,DNK,Bronze,3
1968,Denmark,DNK,Bronze,3
1984,Denmark,DNK,Bronze,3
2008,Denmark,DNK,Bronze,3
2012,Denmark,DNK,Bronze,3
1906,Denmark,DNK,Gold,3
1920,Denmark,DNK,Gold,3
1928,Denmark,DNK,Gold,3
2002,Denmark,DNK,No Medal,3
1900,Denmark,DNK,Silver,3
1960,Denmark,DNK,Silver,3
1984,Denmark,DNK,Silver,3
2000,Denmark,DNK,Silver,3
2000,Algeria,DZA,Bronze,3
2006,Algeria,DZA,No Medal,3
2004,Egypt,EGY,Bronze,3
2016,Egypt,EGY,Bronze,3
2000,Eritrea,ERI,No Medal,3
2004,Eritrea,ERI,No Medal,3
1992,Spain,ESP,Bronze,3
2008,Spain,ESP,Bronze,3
2000,Spain,ESP,Gold,3
2004,Spain,ESP,Gold,3
2012,Spain,ESP,Gold,3
1932,Spain,ESP,No Medal,3
1980,Spain,ESP,Silver,3
2000,Spain,ESP,Silver,3
1936,Estonia,EST,Bronze,3
2006,Estonia,EST,Gold,3
1932,Estonia,EST,No Medal,3
2000,Ethiopia,ETH,Bronze,3
2012,Ethiopia,ETH,Bronze,3
2012,Ethiopia,ETH,Gold,3
2004,Ethiopia,ETH,Silver,3
1908,Finland,FIN,Bronze,3
1968,Finland,FIN,Bronze,3
2006,Finland,FIN,Bronze,3
1960,Finland,FIN,Gold,3
1972,Finland,FIN,Gold,3
1992,Finland,FIN,Silver,3
2014,Finland,FIN,Silver,3
1960,Fiji,FJI,No Medal,3
1912,France,FRA,Bronze,3
2006,France,FRA,Gold,3
1976,France,FRA,Silver,3
2010,France,FRA,Silver,3
1896,UK,GBR,Bronze,3
1968,UK,GBR,Bronze,3
1896,UK,GBR,Gold,3
1904,UK,GBR,No Medal,3
1896,UK,GBR,Silver,3
1992,UK,GBR,Silver,3
2008,Georgia,GEO,Bronze,3
2012,Georgia,GEO,Bronze,3
2008,Georgia,GEO,Gold,3
2012,Georgia,GEO,Silver,3
2004,Gambia,GMB,No Medal,3
2008,Gambia,GMB,No Medal,3
1996,Guinea-Bissau,GNB,No Medal,3
2000,Guinea-Bissau,GNB,No Medal,3
2004,Guinea-Bissau,GNB,No Medal,3
2008,Guinea-Bissau,GNB,No Medal,3
2008,Equatorial Guinea,GNQ,No Medal,3
2000,Greece,GRC,Bronze,3
2016,Greece,GRC,Gold,3
1900,Greece,GRC,No Medal,3
1904,Greece,GRC,No Medal,3
1908,Greece,GRC,Silver,3
2000,Grenada,GRD,No Medal,3
2008,Croatia,HRV,Bronze,3
2002,Croatia,HRV,Gold,3
2012,Croatia,HRV,Gold,3
2016,Croatia,HRV,Silver,3
1900,Haiti,HTI,No Medal,3
1932,Haiti,HTI,No Medal,3
1896,Hungary,HUN,Bronze,3
1906,Hungary,HUN,Bronze,3
1912,Hungary,HUN,Bronze,3
2000,Hungary,HUN,Bronze,3
2004,Hungary,HUN,Bronze,3
1908,Hungary,HUN,Gold,3
1912,Hungary,HUN,Gold,3
2008,Hungary,HUN,Gold,3
2016,Hungary,HUN,Silver,3
2008,Indonesia,IDN,Bronze,3
1952,Indonesia,IDN,No Medal,3
2000,Indonesia,IDN,Silver,3
1900,India,IND,No Medal,3
2010,India,IND,No Medal,3
1956,Ireland,IRL,Bronze,3
2012,Ireland,IRL,Bronze,3
1996,Ireland,IRL,Gold,3
1960,Iran,IRN,Bronze,3
2012,Iran,IRN,Bronze,3
2000,Iran,IRN,Gold,3
2016,Iran,IRN,Gold,3
2006,Iran,IRN,No Medal,3
1952,Iran,IRN,Silver,3
1996,Iraq,IRQ,No Medal,3
2008,Iraq,IRQ,No Medal,3
1956,Israel,ISR,No Medal,3
2006,Israel,ISR,No Medal,3
2010,Israel,ISR,No Medal,3
1906,Italy,ITA,Bronze,3
2010,Italy,ITA,Bronze,3
1900,Italy,ITA,Gold,3
1976,Italy,ITA,Gold,3
1924,Italy,ITA,Silver,3
1980,Jamaica,JAM,Bronze,3
2000,Jamaica,JAM,Bronze,3
1952,Jamaica,JAM,Silver,3
1992,Jamaica,JAM,Silver,3
1996,Jamaica,JAM,Silver,3
2016,Jamaica,JAM,Silver,3
1980,Jordan,JOR,No Medal,3
1956,Japan,JPN,Bronze,3
2014,Japan,JPN,Bronze,3
1996,Japan,JPN,Gold,3
1988,Japan,JPN,Silver,3
2010,Japan,JPN,Silver,3
2004,Kazakhstan,KAZ,Bronze,3
1996,Kazakhstan,KAZ,Gold,3
2000,Kazakhstan,KAZ,Gold,3
2016,Kazakhstan,KAZ,Gold,3
1996,Kenya,KEN,Bronze,3
1968,Kenya,KEN,Gold,3
1972,Kenya,KEN,Silver,3
2000,Kenya,KEN,Silver,3
2010,Kyrgyzstan,KGZ,No Medal,3
2004,Kiribati,KIR,No Medal,3
2012,Kiribati,KIR,No Medal,3
2016,Kiribati,KIR,No Medal,3
1998,South Korea,KOR,Gold,3
2014,South Korea,KOR,Gold,3
2006,South Korea,KOR,Silver,3
2014,South Korea,KOR,Silver,3
2016,South Korea,KOR,Silver,3
2002,Lebanon,LBN,No Medal,3
2014,Lebanon,LBN,No Medal,3
1996,Liberia,LBR,No Medal,3
2012,Liberia,LBR,No Medal,3
2016,Liberia,LBR,No Medal,3
2000,Libya,LBY,No Medal,3
2016,Liechtenstein,LIE,No Medal,3
1956,Sri Lanka,LKA,No Medal,3
1968,Sri Lanka,LKA,No Medal,3
2004,Lesotho,LSO,No Medal,3
2008,Lesotho,LSO,No Medal,3
2000,Lithuania,LTU,Bronze,3
2008,Lithuania,LTU,Bronze,3
2016,Lithuania,LTU,Bronze,3
1932,Luxembourg,LUX,No Medal,3
1932,Latvia,LVA,No Medal,3
1994,Monaco,MCO,No Medal,3
2004,Monaco,MCO,No Medal,3
1936,Mexico,MEX,Bronze,3
1968,Mexico,MEX,Bronze,3
1980,Mexico,MEX,Bronze,3
2000,Mexico,MEX,Bronze,3
2012,Mexico,MEX,Bronze,3
1968,Mexico,MEX,Gold,3
1968,Mexico,MEX,Silver,3
1984,Mexico,MEX,Silver,3
2004,Mexico,MEX,Silver,3
2012,Mexico,MEX,Silver,3
2016,Mexico,MEX,Silver,3
1972,Mali,MLI,No Medal,3
1968,Myanmar,MMR,No Medal,3
1988,Myanmar,MMR,No Medal,3
1996,Myanmar,MMR,No Medal,3
2014,Montenegro,MNE,No Medal,3
1968,Mongolia,MNG,Bronze,3
2012,Mongolia,MNG,Bronze,3
1984,Mongolia,MNG,No Medal,3
1998,Mongolia,MNG,No Medal,3
2000,Mozambique,MOZ,No Medal,3
2012,Malawi,MWI,No Medal,3
1972,Niger,NER,No Medal,3
1992,Niger,NER,No Medal,3
1996,Niger,NER,No Medal,3
1996,Nigeria,NGA,Bronze,3
2008,Nigeria,NGA,Bronze,3
1992,Nigeria,NGA,Silver,3
1912,Netherlands,NLD,Bronze,3
1960,Netherlands,NLD,Bronze,3
1972,Netherlands,NLD,Bronze,3
1980,Netherlands,NLD,Bronze,3
1994,Netherlands,NLD,Bronze,3
2010,Netherlands,NLD,Bronze,3
1964,Netherlands,NLD,Gold,3
1992,Netherlands,NLD,Gold,3
2002,Netherlands,NLD,Gold,3
2006,Netherlands,NLD,Gold,3
1980,Netherlands,NLD,Silver,3
1900,Norway,NOR,Bronze,3
1908,Norway,NOR,Bronze,3
1932,Norway,NOR,Bronze,3
1956,Norway,NOR,Bronze,3
1996,Norway,NOR,Bronze,3
2000,Norway,NOR,Bronze,3
1932,Norway,NOR,Gold,3
1956,Norway,NOR,Gold,3
1964,Norway,NOR,Gold,3
1984,Norway,NOR,Gold,3
2008,Norway,NOR,Gold,3
1908,Norway,NOR,Silver,3
1960,Norway,NOR,Silver,3
1980,Norway,NOR,Silver,3
1984,Norway,NOR,Silver,3
2000,Norway,NOR,Silver,3
1996,Nauru,NRU,No Medal,3
2004,Nauru,NRU,No Medal,3
2000,New Zealand,NZL,Bronze,3
1964,New Zealand,NZL,Gold,3
1988,New Zealand,NZL,Gold,3
1996,New Zealand,NZL,Gold,3
2004,New Zealand,NZL,Gold,3
2008,New Zealand,NZL,Gold,3
2012,Oman,OMN,No Medal,3
1976,Peru,PER,No Medal,3
1932,Philippines,PHL,Bronze,3
2000,Poland,POL,Bronze,3
1932,Poland,POL,Gold,3
1980,Poland,POL,Gold,3
1992,Poland,POL,Gold,3
2004,Poland,POL,Gold,3
2008,Poland,POL,Gold,3
2010,Poland,POL,Silver,3
2016,Poland,POL,Silver,3
1980,Puerto Rico,PRI,No Medal,3
1998,Puerto Rico,PRI,No Medal,3
1972,North Korea,PRK,Bronze,3
2000,North Korea,PRK,Bronze,3
2008,North Korea,PRK,Bronze,3
2010,North Korea,PRK,No Medal,3
1980,North Korea,PRK,Silver,3
2016,North Korea,PRK,Silver,3
1972,Paraguay,PRY,No Medal,3
2008,Romania,ROU,Bronze,3
1960,Romania,ROU,Gold,3
1972,Romania,ROU,Gold,3
1932,Romania,ROU,No Medal,3
1948,Romania,ROU,No Medal,3
1956,Romania,ROU,Silver,3
1912,Russia,RUS,Bronze,3
1998,Russia,RUS,Bronze,3
2010,Russia,RUS,Gold,3
1900,Russia,RUS,No Medal,3
2000,Sudan,SDN,No Medal,3
2006,Senegal,SEN,No Medal,3
1984,Solomon Islands,SLB,No Medal,3
2008,Solomon Islands,SLB,No Medal,3
2016,Solomon Islands,SLB,No Medal,3
2000,Sierra Leone,SLE,No Medal,3
2008,Sierra Leone,SLE,No Medal,3
2016,San Marino,SMR,No Medal,3
1928,Serbia,SRB,Bronze,3
1976,Serbia,SRB,Bronze,3
1968,Serbia,SRB,Gold,3
1988,Serbia,SRB,Gold,3
1956,Serbia,SRB,Silver,3
1968,Serbia,SRB,Silver,3
1976,Serbia,SRB,Silver,3
1980,Serbia,SRB,Silver,3
2016,South Sudan,SSD,No Medal,3
2016,Sao Tome and Principe,STP,No Medal,3
1972,Suriname,SUR,No Medal,3
2012,Slovakia,SVK,Bronze,3
2008,Slovakia,SVK,Gold,3
2000,Slovakia,SVK,Silver,3
1994,Slovenia,SVN,Bronze,3
2004,Slovenia,SVN,Bronze,3
2000,Sweden,SWE,Bronze,3
2012,Sweden,SWE,Bronze,3
2016,Sweden,SWE,Bronze,3
1968,Sweden,SWE,Silver,3
1980,Sweden,SWE,Silver,3
1968,Chad,TCD,No Medal,3
1984,Chad,TCD,No Medal,3
2000,Chad,TCD,No Medal,3
2000,Togo,TGO,No Medal,3
2004,Togo,TGO,No Medal,3
2008,Togo,TGO,No Medal,3
2014,Togo,TGO,No Medal,3
2004,Thailand,THA,Gold,3
2014,Thailand,THA,No Medal,3
2006,Tajikistan,TJK,No Medal,3
2016,Timor-Leste,TLS,No Medal,3
2000,Tonga,TON,No Medal,3
2008,Tonga,TON,No Medal,3
2012,Tonga,TON,No Medal,3
2016,Tunisia,TUN,Bronze,3
1984,Turkey,TUR,Bronze,3
2008,Turkey,TUR,Bronze,3
1956,Turkey,TUR,Gold,3
2000,Turkey,TUR,Gold,3
2004,Turkey,TUR,Gold,3
1964,Turkey,TUR,Silver,3
2004,Turkey,TUR,Silver,3
2008,Turkey,TUR,Silver,3
2016,Turkey,TUR,Silver,3
2008,Tuvalu,TUV,No Medal,3
2012,Tuvalu,TUV,No Medal,3
2000,Ukraine,UKR,Gold,3
1998,USA,USA,Silver,3
2008,Uzbekistan,UZB,Bronze,3
1994,Uzbekistan,UZB,No Medal,3
2006,Uzbekistan,UZB,No Medal,3
2004,Saint Vincent,VCT,No Medal,3
2012,Saint Vincent,VCT,No Medal,3
1984,Venezuela,VEN,Bronze,3
1998,"Virgin Islands, US",VIR,No Medal,3
2002,"Virgin Islands, US",VIR,No Medal,3
2000,Vanuatu,VUT,No Medal,3
2008,Vanuatu,VUT,No Medal,3
2004,Samoa,WSM,No Medal,3
1984,Yemen,YEM,No Medal,3
2004,Yemen,YEM,No Medal,3
2016,Yemen,YEM,No Medal,3
1920,South Africa,ZAF,Bronze,3
1932,South Africa,ZAF,Bronze,3
2000,South Africa,ZAF,Bronze,3
1920,South Africa,ZAF,Gold,3
1996,South Africa,ZAF,Gold,3
2012,South Africa,ZAF,Gold,3
1994,South Africa,ZAF,No Medal,3
1998,South Africa,ZAF,No Medal,3
2004,South Africa,ZAF,Silver,3
2008,Zimbabwe,ZWE,Silver,3
1992,Aruba,ABW,No Medal,4
2004,Aruba,ABW,No Medal,4
2012,Aruba,ABW,No Medal,4
1936,Afghanistan,AFG,No Medal,4
1980,Andorra,AND,No Medal,4
1984,Andorra,AND,No Medal,4
2002,Andorra,AND,No Medal,4
2016,Andorra,AND,No Medal,4
1996,United Arab Emirates,ARE,No Medal,4
2004,United Arab Emirates,ARE,No Medal,4
2004,Argentina,ARG,Bronze,4
2008,Argentina,ARG,Bronze,4
2000,American Samoa,ASM,No Medal,4
2008,American Samoa,ASM,No Medal,4
2012,American Samoa,ASM,No Medal,4
2016,American Samoa,ASM,No Medal,4
2000,Antigua,ATG,No Medal,4
2012,Antigua,ATG,No Medal,4
1976,Australia,AUS,Bronze,4
1924,Australia,AUS,Gold,4
1984,Australia,AUS,Gold,4
1972,Austria,AUT,Bronze,4
1994,Austria,AUT,Bronze,4
1956,Austria,AUT,Gold,4
1964,Austria,AUT,Gold,4
1980,Austria,AUT,Gold,4
1988,Austria,AUT,Gold,4
2010,Austria,AUT,Gold,4
2014,Austria,AUT,Gold,4
1924,Austria,AUT,Silver,4
1980,Austria,AUT,Silver,4
2002,Austria,AUT,Silver,4
2004,Austria,AUT,Silver,4
2004,Azerbaijan,AZE,Bronze,4
2008,Azerbaijan,AZE,Bronze,4
2010,Azerbaijan,AZE,No Medal,4
1924,Belgium,BEL,Bronze,4
1996,Benin,BEN,No Medal,4
2000,Benin,BEN,No Medal,4
2004,Benin,BEN,No Medal,4
1992,Burkina Faso,BFA,No Medal,4
2000,Burkina Faso,BFA,No Medal,4
1996,Bangladesh,BGD,No Medal,4
2004,Bangladesh,BGD,No Medal,4
1968,Bulgaria,BGR,Silver,4
2000,Bahrain,BHR,No Medal,4
2016,Belarus,BLR,Bronze,4
2008,Belarus,BLR,Gold,4
2016,Belarus,BLR,Silver,4
1976,Belize,BLZ,No Medal,4
2008,Belize,BLZ,No Medal,4
1936,Bermuda,BMU,No Medal,4
1960,Bermuda,BMU,No Medal,4
1968,Bermuda,BMU,No Medal,4
1972,Bermuda,BMU,No Medal,4
2008,Brazil,BRA,Silver,4
1992,Bhutan,BTN,No Medal,4
1996,Botswana,BWA,No Medal,4
1988,Central African Republic,CAF,No Medal,4
2004,Central African Republic,CAF,No Medal,4
1994,Canada,CAN,Bronze,4
1998,Canada,CAN,Bronze,4
1904,Canada,CAN,Gold,4
2016,Canada,CAN,Gold,4
1928,Canada,CAN,Silver,4
1936,Canada,CAN,Silver,4
1968,Canada,CAN,Silver,4
1988,Canada,CAN,Silver,4
1972,Swaziland,CHE,No Medal,4
2008,Swaziland,CHE,No Medal,4
2002,China,CHN,Bronze,4
2010,China,CHN,Bronze,4
2006,China,CHN,Silver,4
2014,China,CHN,Silver,4
1968,Cameroon,CMR,No Medal,4
2004,Democratic Republic of the Congo,COD,No Medal,4
2012,Democratic Republic of the Congo,COD,No Medal,4
2016,Democratic Republic of the Congo,COD,No Medal,4
2004,Democratic Republic of the Congo,COG,No Medal,4
2012,Democratic Republic of the Congo,COG,No Medal,4
2016,Democratic Republic of the Congo,COG,No Medal,4
2012,Colombia,COL,Bronze,4
1996,Comoros,COM,No Medal,4
2016,Comoros,COM,No Medal,4
1972,Costa Rica,CRI,No Medal,4
1972,Cuba,CUB,Bronze,4
2016,Cuba,CUB,Bronze,4
1904,Cuba,CUB,Gold,4
1968,Cuba,CUB,Silver,4
1976,Cuba,CUB,Silver,4
1960,Curacao,CUW,No Medal,4
1964,Curacao,CUW,No Medal,4
1968,Curacao,CUW,No Medal,4
1976,Curacao,CUW,No Medal,4
2008,Curacao,CUW,No Medal,4
2000,Cayman Islands,CYM,No Medal,4
2010,Cyprus,CYP,No Medal,4
1964,Czech Republic,CZE,Bronze,4
1972,Czech Republic,CZE,Bronze,4
1976,Czech Republic,CZE,Bronze,4
1984,Czech Republic,CZE,Bronze,4
1988,Czech Republic,CZE,Bronze,4
1992,Czech Republic,CZE,Bronze,4
1996,Czech Republic,CZE,Bronze,4
2010,Czech Republic,CZE,Bronze,4
1992,Czech Republic,CZE,Gold,4
1996,Czech Republic,CZE,Gold,4
2012,Czech Republic,CZE,Gold,4
